loan_amnt,int_rate,installment,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,policy_code,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,issue_d_Jan-2019,issue_d_Mar-2019,initial_list_status_w,next_pymnt_d_May-2019,application_type_Joint App,loan_status
30000,0.0819,611.03,56000,21.91,0,0,8,0,12833,17,29184.67,29184.67,1187.94,1187.94,815.33,372.61,0,0,0,611.03,0,1,0,0,319876,0,2,0,0,27,29079,58,0,1,8161,44,45000,1,0,1,1,39985,24167,34.7,0,0,147,162,14,14,2,14,4,0,2,2,4,6,5,5,10,2,8,0,0,0,0,100,0,0,0,398818,41912,37000,49818,1,0,0,1,0,1,0,1,0,1,low_risk
10000,0.0702,308.87,164000,11.92,0,1,18,1,12560,30,9497.8,9497.8,607.99,607.99,502.2,105.79,0,0,0,308.87,0,1,0,0,201178,1,4,3,4,3,50048,86,0,3,3501,53,61100,5,0,8,7,11834,31410,27.1,0,0,200,194,13,3,2,13,3,0,6,8,6,9,7,13,21,8,18,0,0,0,3,100,0,1,0,297140,62608,43100,58040,1,0,0,1,0,1,0,1,0,0,low_risk
15000,0.1298,505.27,240000,12.49,0,0,17,0,22324,29,14310.25,14310.25,983.5,983.5,689.75,293.75,0,0,0,505.27,0,1,0,0,371525,1,4,1,3,9,33549,61,2,4,11285,52,65000,1,1,2,7,21854,20933,45.3,0,0,162,267,6,6,2,7,7,0,3,6,6,7,14,10,12,6,17,0,0,0,3,100,33.3,0,0,561316,71008,38300,55481,1,0,0,0,0,1,0,0,0,0,low_risk
8500,0.1502,294.74,102000,18.62,0,0,11,1,11482,17,7927.85,7927.85,866.49,866.49,572.15,294.34,0,0,0,294.74,0,1,0,1136,59853,1,4,2,4,6,47738,85,0,0,4134,80,17400,5,1,2,4,5441,654,93.8,0,0,154,117,28,6,0,53,6,0,3,4,3,4,8,6,8,4,11,0,0,0,2,88.2,100,1,0,74441,59853,10500,56408,0,0,1,1,0,1,0,1,1,0,low_risk
18000,0.1614,439.07,115000,15.12,0,0,11,0,5299,14,17401.11,17401.11,1276.86,1276.86,598.89,677.97,0,0,0,439.07,0,1,0,1296,45734,2,2,0,1,16,40435,68,3,4,1424,50,12600,2,0,1,5,4158,5845,38.9,0,0,80,34,4,4,0,4,11,0,6,7,7,7,5,9,9,7,11,0,0,0,3,84.6,0,0,0,68420,45734,9800,55820,0,0,1,0,1,1,0,1,1,1,low_risk
14400,0.1447,338.59,128960,29.53,0,1,13,0,20553,39,13899.16,13899.16,986.83,986.83,500.84,485.99,0,0,0,338.59,0,1,0,0,621241,1,5,2,7,6,112726,83,0,0,12327,77,33700,1,8,2,8,47788,9609,65.6,0,0,161,290,67,6,10,67,6,0,2,3,4,6,19,6,9,3,13,0,0,0,3,97.4,50,0,0,662836,133279,27900,132386,1,0,0,1,0,1,0,1,1,0,low_risk
35000,0.234,1362.15,94000,30.27,0,0,16,0,9597,23,33631.86,33631.86,2610.55,2610.55,1368.14,1242.41,0,0,0,1362.15,0,1,0,0,372974,0,6,0,3,13,43530,66,0,4,3444,66,14500,0,6,0,7,24865,228,96.6,0,0,57,138,13,13,2,13,14,0,4,8,5,7,10,9,11,8,16,0,0,0,0,90.9,100,0,0,417243,53127,6700,65920,1,0,0,0,1,1,0,1,0,1,low_risk
27000,0.1502,642.62,70000,25.36,0,2,21,0,27990,36,26074.5,26074.5,1871.54,1871.54,925.5,946.04,0,0,0,642.62,0,1,0,0,66703,3,6,1,2,3,38713,46,3,7,6571,51,53500,1,5,2,9,3176,3630,78,0,0,137,291,5,3,3,15,3,0,4,13,4,6,13,15,20,13,21,0,0,0,4,100,75,0,0,107419,66703,16500,53919,0,0,1,1,0,1,0,1,1,0,low_risk
40000,0.1298,1347.38,72000,24.93,0,1,9,0,6531,15,38160.68,38160.68,2622.65,2622.65,1839.32,783.33,0,0,0,1347.38,0,1,0,0,47068,1,2,0,2,13,40537,35,1,2,3819,34,20200,4,0,11,4,5230,12867,33,0,0,148,169,1,1,0,24,0,1,3,4,6,9,4,7,10,4,9,0,0,0,1,92.9,16.7,0,0,81846,47068,19200,61646,0,1,0,0,0,1,0,1,0,0,low_risk
14000,0.1691,347.26,67000,30.97,0,0,13,0,10763,34,13543.7,13543.7,1008.9,1008.9,456.3,552.6,0,0,0,347.26,0,1,0,195,159392,0,5,2,3,11,82390,86,0,0,4840,78,22800,5,7,3,3,12261,2663,79.5,0,0,171,259,32,11,1,32,1,1,3,6,3,4,23,7,10,6,13,0,0,0,2,97.1,66.7,0,0,192708,93153,13000,95958,1,0,0,1,0,1,0,1,1,0,low_risk
11000,0.1447,378.47,129470,24.36,1,1,19,0,59436,40,10253.59,10253.59,1113.3,1113.3,746.41,366.89,0,0,0,378.47,0,1,0,0,225183,0,2,1,2,7,26482,70,0,3,21752,69,87200,3,4,5,5,11852,12630,81.5,0,0,193,254,13,7,6,24,0,2,9,12,9,11,9,16,24,12,19,0,0,1,1,95,55.6,0,0,275993,85918,68100,37743,1,0,0,1,0,1,0,1,1,0,low_risk
6900,0.0819,216.83,77216,22.74,0,1,11,0,9595,39,6559.37,6559.37,425.81,425.81,340.63,85.18,0,0,0,216.83,0,1,0,0,125433,2,3,0,2,14,115838,71,2,2,6834,44,40000,1,4,1,4,11403,27905,25.6,0,0,185,213,3,3,0,3,3,0,4,4,5,9,20,8,19,4,11,0,0,0,2,97.4,0,0,0,151275,125433,37500,111275,0,0,1,0,0,1,0,1,0,0,low_risk
5000,0.0646,153.16,62000,18.12,0,1,16,0,7328,37,4746.83,4746.83,301.83,301.83,253.17,48.66,0,0,0,153.16,0,1,0,0,60755,0,2,1,1,10,53427,82,3,5,2769,29,56700,2,0,4,6,3797,29167,16.4,0,0,195,198,8,8,0,11,0,0,6,11,6,8,18,14,19,11,16,0,0,0,4,97.3,16.7,0,0,111548,60755,34900,54848,0,1,0,0,0,1,0,1,0,0,low_risk
8000,0.1614,281.81,23808,16.43,0,0,4,0,6016,14,7649.24,7649.24,545.69,545.69,350.76,194.93,0,0,0,281.81,0,1,0,0,7813,0,1,0,1,18,1797,60,1,3,3737,68,8500,1,0,2,4,1953,566,90.6,0,0,18,144,11,11,0,18,11,0,2,3,2,7,1,3,13,3,4,0,0,0,1,92.9,100,0,0,11500,7813,6000,3000,0,0,1,1,0,1,0,1,0,0,low_risk
25000,0.1072,540.08,65000,20.05,0,0,6,0,11879,9,24363.68,24363.68,1042.94,1042.94,636.32,406.62,0,0,0,540.08,0,1,0,0,37314,0,2,0,1,16,25435,62,0,2,9717,44,45000,0,0,0,3,6219,29483,24.8,0,0,37,61,17,16,0,24,24,0,1,2,3,6,2,4,7,2,6,0,0,0,0,100,0,0,0,85739,37314,39200,40739,0,0,1,1,0,1,0,1,0,0,low_risk
15000,0.0756,467.01,95000,21.92,0,1,11,0,9159,16,14252.63,14252.63,918.27,918.27,747.37,170.9,0,0,0,467.01,0,1,0,0,103249,2,4,1,1,6,94090,126,1,2,4072,112,15200,0,1,5,3,12906,1961,76.9,0,0,146,376,2,2,0,16,2,4,2,4,5,7,7,7,9,4,11,0,0,0,2,73.3,50,0,0,110535,103249,8500,95335,0,0,1,0,0,1,0,1,0,0,low_risk
14000,0.1298,471.59,40000,28.53,0,0,12,1,14229,19,13356.22,13356.22,917.94,917.94,643.78,274.16,0,0,0,471.59,0,1,0,0,23430,0,1,0,1,20,9201,77,0,3,3651,71,20900,2,0,1,4,1953,3361,74.7,0,0,160,133,15,15,0,15,8,0,7,11,7,7,5,11,14,11,12,0,0,0,0,100,57.1,1,0,32900,23430,13300,12000,0,0,1,0,0,1,0,1,0,0,low_risk
40000,0.1356,1358.58,102000,30.44,0,0,11,0,57730,36,38176.6,38176.6,2641.83,2641.83,1823.4,818.43,0,0,0,1358.58,0,1,0,0,236106,1,2,1,1,1,45091,25,0,1,16602,46,115000,1,12,3,3,21464,56270,50.6,0,0,173,169,19,1,4,28,1,0,6,6,7,11,15,8,16,6,11,0,0,0,2,100,28.6,0,0,310072,102821,114000,60125,1,0,0,0,1,1,0,1,0,0,low_risk
5500,0.0881,174.42,46000,15.52,0,0,8,0,4295,18,5094.91,5094.91,499.04,499.04,405.09,93.95,0,0,0,174.42,0,1,0,0,55617,1,3,2,2,5,51322,104,1,2,529,77,22600,1,1,5,4,6952,9471,5.3,0,0,131,155,7,5,0,24,6,0,1,2,1,4,9,5,9,2,8,0,0,0,3,100,0,0,0,71874,55617,10000,49274,0,0,1,0,0,1,0,1,1,0,low_risk
6000,0.118,198.72,27600,25.74,0,3,12,0,4842,16,5576.7,5576.7,586.33,586.33,423.3,163.03,0,0,0,198.72,0,1,0,159,117090,4,2,1,1,4,21030,85,4,7,1714,42,37000,1,1,4,8,9758,19557,13.1,0,0,244,36,2,2,1,20,0,1,3,8,4,4,6,9,9,8,12,0,0,0,5,81.3,25,0,0,197607,25872,22500,24707,1,0,0,0,0,1,0,1,1,0,low_risk
7500,0.0702,231.65,100000,18.6,0,1,17,0,2552,31,6933.37,6933.37,687.64,687.64,566.63,121.01,0,0,0,231.65,0,1,0,0,157283,2,5,1,4,10,154731,30,5,8,1383,12,69400,3,0,4,12,9252,48448,5,0,0,133,115,1,1,0,2,1,0,2,2,5,7,16,12,15,2,17,0,0,0,6,100,0,0,0,239146,157283,51000,169746,0,0,1,1,0,1,0,1,1,0,low_risk
9000,0.1502,312.08,27000,20.89,0,2,9,0,8008,46,8496.42,8496.42,727.66,727.66,503.58,224.08,0,0,0,312.08,0,1,0,0,14480,3,1,1,1,4,6472,93,2,3,5005,44,26200,1,0,3,4,1609,410,94.1,0,0,140,335,4,4,2,6,4,5,3,5,3,21,7,8,37,5,9,0,0,0,3,88.9,66.7,0,0,33200,14480,6900,7000,0,1,0,1,0,1,0,1,0,0,low_risk
8400,0.0819,263.97,147588,19.49,0,1,23,0,44163,29,7985.31,7985.31,518.38,518.38,414.69,103.69,0,0,0,263.97,0,1,0,0,65055,2,7,4,6,2,20892,56,0,0,11763,62,67100,4,0,4,6,2828,14980,73.5,0,0,209,403,26,2,0,32,2,0,12,15,12,13,10,16,19,15,23,0,0,0,4,100,66.7,0,0,104528,65055,56500,37428,0,0,1,1,0,1,0,1,0,0,low_risk
10000,0.2235,278.19,139000,11.53,0,0,27,0,30243,34,9719.01,9719.01,803.53,803.53,280.99,522.54,0,0,0,278.19,0,1,0,0,354102,6,1,1,2,1,21480,100,6,12,6285,56,70200,3,1,6,17,13115,23468,44,0,0,35,75,2,1,4,3,1,0,6,17,9,9,4,24,26,17,27,0,0,0,9,100,0,0,0,396480,51723,41900,21480,1,0,0,1,0,1,0,1,1,0,low_risk
24000,0.1614,845.43,112000,37.06,0,2,31,0,33820,51,22410.93,22410.93,2482.49,2482.49,1589.07,893.42,0,0,0,845.43,0,1,0,0,96158,2,6,2,4,3,62338,60,2,7,6841,42,105800,3,0,3,11,3102,43613,36.9,0,0,174,167,5,3,0,8,2,0,12,17,17,17,23,25,28,17,31,0,0,0,4,100,11.8,0,0,213287,96158,69100,107487,0,1,0,0,0,1,0,1,1,0,low_risk
14000,0.118,310.01,65000,19.83,0,0,17,0,4999,34,13653.62,13653.62,597.08,597.08,346.38,250.7,0,0,0,310.01,0,1,0,0,187012,1,3,2,2,8,37596,74,3,7,4115,39,58700,3,0,5,9,11001,48901,9.3,0,0,83,81,4,4,1,4,8,0,3,3,12,17,10,13,23,3,17,0,0,0,5,100,8.3,0,0,261792,42595,53900,50900,1,0,0,0,0,1,0,1,0,0,low_risk
15300,0.1356,352.53,55000,12.74,1,1,21,0,34572,41,14754.97,14754.97,1028.77,1028.77,545.03,483.74,0,0,0,352.53,0,1,0,0,212218,2,1,0,0,43,1576,45,3,7,22972,24,147000,0,1,1,8,10106,90438,27.4,0,0,156,293,4,4,2,5,5,0,4,7,9,15,5,18,33,7,21,0,0,0,3,97.6,22.2,0,0,331500,36548,124500,3500,1,0,0,0,0,1,0,1,1,0,low_risk
13500,0.1033,437.71,43500,19.14,0,0,8,0,13756,12,12854.24,12854.24,856.05,856.05,645.76,210.29,0,0,0,437.71,0,1,0,0,20587,0,1,1,1,7,6831,87,1,1,5182,55,29800,0,0,1,2,2573,4124,57.9,0,0,175,281,8,7,0,8,3,0,2,7,2,2,4,7,8,7,8,0,0,0,2,100,0,0,0,37691,20587,9800,7891,0,0,1,0,1,1,0,0,0,0,low_risk
24000,0.1298,545.83,119000,27.15,0,1,12,0,14494,27,23131.99,23131.99,1594.22,1594.22,868.01,726.21,0,0,0,545.83,0,1,0,0,105269,0,4,0,1,19,73554,64,0,0,13484,61,27600,0,10,4,2,8772,11806,55.1,0,0,124,211,32,7,5,32,0,2,3,3,5,8,9,7,13,3,12,0,0,0,1,92.3,20,0,0,174094,88048,26300,128894,1,0,0,0,0,1,0,0,1,0,low_risk
12000,0.1298,272.92,81500,17.45,0,1,13,0,17573,38,11565.98,11565.98,784.15,784.15,434.02,350.13,0,0,0,272.92,0,1,0,0,230348,3,8,0,1,21,78593,88,2,3,7200,81,25700,2,2,2,5,17719,7604,67.6,0,0,145,136,3,3,2,3,6,0,3,4,3,3,30,4,6,4,13,0,0,0,3,100,66.7,0,0,249541,96166,23500,88841,1,0,0,1,0,1,0,1,1,0,low_risk
2500,0.1614,88.07,53000,9.19,0,0,7,0,1760,16,2334.46,2311.11,258.61,256.02,165.54,93.07,0,0,0,88.07,0,1,0,0,104775,2,2,1,2,4,103015,97,1,2,302,77,5800,1,0,1,5,14968,586,41.4,0,0,215,32,6,4,0,6,4,0,2,3,2,2,11,4,4,3,7,0,0,0,2,100,0,0,0,44771,104775,1000,38196,0,0,1,0,0,1,0,0,1,0,low_risk
6000,0.1356,203.79,60000,21.8,0,2,11,0,3329,16,5587.4,5587.4,600.07,600.07,412.6,187.47,0,0,0,203.79,0,1,0,0,63777,4,2,3,3,5,59109,94,2,3,3107,41,26200,1,0,2,7,5798,20271,14.1,0,0,39,54,1,1,0,1,1,0,3,3,5,7,5,8,10,3,11,0,0,0,6,100,0,0,0,89873,63777,23600,62334,0,0,1,0,0,1,0,1,1,0,low_risk
9000,0.1072,293.46,45000,25.31,0,0,14,0,9955,28,8571.98,8571.98,573.52,573.52,428.02,145.5,0,0,0,293.46,0,1,0,0,39566,2,2,1,1,2,29611,80,3,4,5950,40,63400,0,2,5,5,2826,40237,19,0,0,121,180,2,2,0,2,2,0,4,6,6,6,7,12,21,6,14,0,0,0,4,100,16.7,0,0,100326,39566,49700,36926,0,0,1,0,0,1,0,1,0,0,low_risk
25000,0.0646,765.77,114000,20.12,0,0,27,0,22291,63,23734.23,23734.23,1509.11,1509.11,1265.77,243.34,0,0,0,765.77,0,1,0,0,59232,1,3,0,1,16,36941,70,2,5,15482,23,207200,0,0,2,6,2194,144176,13.1,0,0,105,255,2,2,5,11,0,0,9,14,16,28,8,24,50,14,27,0,0,0,2,98.4,0,0,0,259960,59232,165900,52760,0,0,1,0,0,1,0,1,0,0,low_risk
19200,0.1502,665.77,72450,27.42,0,1,18,0,34882,39,18343.77,18343.77,1299.5,1299.5,856.23,443.27,0,0,0,665.77,0,1,0,0,62429,2,9,0,2,14,27547,73,2,5,15353,78,42800,1,0,1,7,3468,5710,80.6,0,0,136,139,2,2,0,2,2,2,4,9,4,6,27,9,11,9,18,0,0,0,2,94.9,50,0,0,80508,62429,29500,37708,0,1,0,1,0,1,0,0,0,0,low_risk
15000,0.1033,321.15,125000,11.97,0,1,12,0,48362,25,14614.3,14614.3,620.78,620.78,385.7,235.08,0,0,0,321.15,0,1,0,0,290942,0,1,0,1,14,3557,36,0,2,16408,59,78700,1,4,1,5,24245,17252,62.1,0,0,128,231,19,14,4,61,3,0,5,9,5,6,7,10,14,9,12,0,0,0,0,100,0,0,0,345200,51919,45500,10000,1,0,0,0,0,1,0,1,0,0,low_risk
30000,0.1131,986.58,70000,10.2,1,0,23,0,13083,33,28585.71,28585.71,1926.04,1926.04,1414.29,511.75,0,0,0,986.58,0,1,0,0,76884,1,2,1,1,6,63801,102,0,0,2880,28,61000,0,1,1,1,3343,18044,31.1,0,0,139,141,32,6,0,32,8,0,4,8,6,6,12,21,21,8,23,0,0,0,1,90.9,0,0,0,119532,76884,26200,58532,1,0,0,1,0,1,0,1,0,0,low_risk
32000,0.1992,846.39,65000,15.32,1,1,21,0,7892,34,31038.65,31038.65,2450.64,2450.64,961.35,1489.29,0,0,0,846.39,0,1,0,0,164986,1,9,1,2,8,36481,91,1,3,5734,70,23200,4,1,2,5,7856,8266,41,0,0,190,217,1,1,1,33,1,0,1,5,3,8,13,11,20,5,21,0,0,0,2,84.8,0,0,0,193657,44373,14000,40153,1,0,0,0,1,1,0,0,1,0,low_risk
8000,0.0702,247.09,73000,9.9,0,0,15,0,5629,40,7598.25,7574.5,486.38,484.86,401.75,84.63,0,0,0,247.09,0,1,0,0,184792,3,1,2,2,6,19430,97,4,9,2801,27,74400,1,0,1,11,12319,56054,6.6,0,0,127,260,2,2,2,2,10,0,5,8,7,22,5,13,33,8,15,0,0,0,6,92.5,0,0,0,283400,25059,60000,20000,1,0,0,0,0,1,0,0,0,0,low_risk
1200,0.1691,42.73,52000,22.29,1,3,12,0,6944,15,1121.44,1098.08,125.37,122.76,78.56,46.81,0,0,0,42.73,1,1,0,0,27880,2,2,0,1,15,20936,61,3,5,1872,45,27900,1,0,4,6,2323,15320,21.8,0,0,36,231,1,1,0,4,1,1,4,8,5,5,2,10,12,8,12,0,0,1,3,93.3,20,0,0,62169,27880,19600,34269,0,0,1,0,0,1,0,0,1,0,low_risk
33600,0.1033,1089.4,125000,24.6,1,0,13,0,36208,26,31178.8,31178.8,3219.99,3219.99,2421.2,798.79,0,0,0,1089.4,0,1,0,0,186291,0,3,0,0,26,15784,9,0,0,8063,55,44700,0,0,0,0,14330,2374,91.1,0,0,109,389,78,26,3,78,18,0,4,8,4,6,7,8,15,8,13,0,0,0,0,92.3,100,0,0,273673,54549,26800,66488,1,0,0,0,1,1,0,0,1,0,low_risk
35000,0.1992,925.73,165000,19.24,0,0,7,0,5705,15,33948.55,33948.55,2680.36,2680.36,1051.45,1628.91,0,0,0,925.73,0,1,0,0,103323,2,5,2,5,1,97618,73,0,0,5376,70,9300,1,4,0,5,14760,3595,61.3,0,0,141,161,53,1,1,53,20,0,2,2,2,2,11,2,3,2,7,0,0,0,2,100,50,0,0,122875,103323,9300,113575,0,0,1,1,0,1,0,0,1,0,low_risk
12000,0.1992,445.48,65000,13.21,5,0,9,0,4656,19,11503.35,11503.35,950.72,950.72,496.65,454.07,0,0,0,445.48,0,1,0,1150,125850,0,2,1,2,12,121194,90,0,1,2626,73,12300,2,1,3,3,13983,5874,30.9,0,0,140,282,16,12,0,37,12,0,1,4,2,3,8,7,11,4,9,0,0,5,1,72.2,50,0,0,132936,125850,8500,120636,0,0,1,1,0,1,0,1,0,0,low_risk
35000,0.118,775.03,88000,30.29,0,0,15,0,138504,27,34134.04,34134.04,1492.7,1492.7,865.96,626.74,0,0,0,775.03,0,1,0,0,164515,2,3,1,1,2,26011,53,2,2,8770,54,180800,1,1,4,3,10968,21898,58.3,0,0,127,178,3,2,2,3,2,0,6,7,8,11,8,12,17,7,15,0,0,0,3,100,25,0,0,229902,164515,52500,49102,1,0,0,1,0,1,0,0,0,0,low_risk
4800,0.0819,150.84,65000,28.79,0,0,14,0,1504,24,4443.34,4420.19,447.06,444.73,356.66,90.4,0,0,0,150.84,0,1,0,2038,44560,2,10,2,4,5,43056,71,0,0,854,65,7300,1,1,1,4,3183,3946,17.8,0,0,114,136,25,5,0,41,5,0,1,3,2,2,18,4,6,3,14,0,0,0,2,100,0,0,0,68145,44560,4800,60845,0,0,1,1,0,1,0,0,1,0,low_risk
11000,0.1797,397.52,102000,13.11,0,2,18,0,14282,31,10291.1,10291.1,1165.11,1165.11,708.9,456.21,0,0,0,397.52,0,1,0,0,169193,4,2,1,4,1,23293,96,3,5,1651,68,31200,1,10,2,9,9400,3472,46.6,0,0,128,97,1,1,1,2,1,0,2,13,2,2,12,15,17,13,18,0,0,0,4,100,50,0,0,194292,37575,6500,24199,0,0,1,0,0,1,0,1,1,1,low_risk
12950,0.1894,474.31,60000,18.22,0,2,18,0,3365,56,12385.9,12385.9,961.81,961.81,564.1,397.71,0,0,0,494.31,0,1,0,0,86148,3,9,1,1,11,34415,87,3,3,1232,79,8400,3,0,10,4,5068,1499,65.9,0,0,115,142,2,2,2,2,1,6,4,5,4,26,15,8,39,5,18,0,0,0,4,90.6,75,0,0,97651,37780,4400,39369,1,0,0,1,0,1,0,1,0,0,low_risk
